name,commits,files
cd-ms-settlement-mastercard,1,2
cd-ms-authorizer-mastercard,2229,233
do-setup-core,301,358
arq-lib-common-authorization,27,39
ob-ms-lp-bff,69,221
pa-events-garnishments,15,15
ob-lib-onboarding-events,431,145
trn-client-channels-api-conventions,5,9
do-poc-dev3,11,12
do-repository-creator,178,28
trn-ms-plan,134,163
cd-ms-posting-webhook,45,30
trn-lib-flunt,8,39
do-tf-aks-node-pool,4,8
bcc-backend,360,461
qa-cards-authorizer-integrated-tests,11,23
api-trn-transfer,1,1
ob-ios-authentication-pod,161,97
api-cd-configuration-management,1,1
bcc-ms-integration,149,155
pa-events-organization-structure,23,12
cd-ms-posting-chargeback,177,95
qa-quantum-integrated-tests,8,16
ob-ms-idwall,55,96
arq-ms-hospital,128,95
sd-flutter-vending-machine,1,2
cad-ms-identity,50,103
cad-ms-kyc,154,184
ob-ms-FavoriteMobileRecharge-Integration-collector,1,2
cc-web-config-nginx,1,1
bcc-gp-web-legalperson-onboarding,95,187
pa-ms-post-processing,5,62
ob-ms-tutorial,132,68
trn-ms-cards,109,112
trn-svc-config-pts-co,92,41
ssd.puppet.dotnet_framework_installer,6,2
ob-events-FavoriteTransferBetweenSuper-integration,4,14
pa-client-operations,110,38
qa-web-regresion-tests,19,116
do-service-example,27,35
api-cad-notification-builder,1,1
pa-ms-organizational-structure,853,398
bcc-events-ms-payments,35,23
ob-ms-FavoriteTransportTicket-Integration-collector,15,47
cd-events-dictionary,13,41
do-tf-module-elasticsearch,1,1
trn-ms-transfer,629,326
pa-jobs,2,36
ob-ms-fullfilment,86,80
crd-ms-loan-sim,127,246
sd-flutter-plugins,5,9
qa-core-pampas-integrated-tests,1,1
ob-ms-prospect-device-validation,183,91
arq-ms-sonarqube-proxy,2,15
pix-spi-lancamento-api,1,1
test-acr,17,12
do-helm-kube-slack,25,11
do-poc-android,109,109
do-tf-cassandra,31,21
trn-android-pix,6,34
cad-client-ms-otp-notification,5,18
do-agent-vsts,52,71
ob-ms-account-integration-collector,1,2
qa-automation-transactions,10,42
trn-ms-lock,33,62
framework-testing,16,29
cd-tye,2,2
trn-svc-config-pts-mx,13,39
pa-ms-condition-types,26,76
bcc-ms-notifier,48,92
cc-transmit-sdks,1,2549
do-helm-kafka-topics-ui,26,13
qa-automation-rest-api-pampas,1,1
pa-client-ms-product,105,83
